tweet_id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,airline_sentiment_gold,name,negativereason_gold,retweet_count,text,tweet_coord,tweet_created,tweet_location,user_timezone
569849299850305536,negative,0.6495,Lost Luggage,0.3349,United,,fredcarlton,,0,"@united nope not here. You need a little red stamp from the counter. Check yourself, before you wreck yourself son http://t.co/0pRGySvuRm",,2015-02-23 05:20:35 -0800,,Pacific Time (US & Canada)
568662835829415936,positive,0.6608,,,United,,nrihssn,,0,@united maybe on my return trip 👍,,2015-02-19 22:45:59 -0800,NJ,Eastern Time (US & Canada)
568280527305715712,neutral,0.7041,,,United,,KarlSoule,,0,@united done as requested.,"[1.3523078, 103.8637764]",2015-02-18 21:26:50 -0800,Singapore,Singapore
569659668412407808,negative,1.0,Late Flight,1.0,American,,agoldenbrown,,0,@AmericanAir I still am not on a flight. Ive been here allll day and now we're not boarding because we're waiting for catering?,,2015-02-22 16:47:03 -0800,NYCATL,Eastern Time (US & Canada)
569894100649947136,negative,1.0,Customer Service Issue,1.0,US Airways,,ChrisClark09,,2,@USAirways website isnt working and I cant talk to any1 on the phone to check flight status out of dfw. Roads are awful and cant get there,,2015-02-23 08:18:36 -0800,Mentor/Columbus,Eastern Time (US & Canada)
568534166742003712,neutral,1.0,,,United,,Rksshots,,0,@united Just got interrogated at the United Club Chicago. #UnitedAirlines #rude #PoorForm,,2015-02-19 14:14:42 -0800,"San Diego, CA",
568391392528969730,positive,1.0,,,Southwest,,BLUEnergyUSA,,0,@SouthwestAir I love you guys! Had to take a few other airlines this week...makes me love and appreciate y'all so much more! #onlywaytofly,,2015-02-19 04:47:22 -0800,,Central Time (US & Canada)
568872291427160065,neutral,1.0,,,United,,PaintboxGirl,,0,@united mine is GJQX6J husband is A587CW (Can't DM for some reason.),,2015-02-20 12:38:18 -0800,New York State,Central Time (US & Canada)
568003851145461760,positive,1.0,,,US Airways,,SVLLINDIA,,0,"@USAirways @AmericanAir @SVLLINDIA provides you the best logistics experience for people all over India.
#Mumbai #Surat #NaviMumbai",,2015-02-18 03:07:25 -0800,Mumbai,
570012421345005568,neutral,0.6526,,0.0,US Airways,,rkaradi,,0,@USAirways @AmericanAir explain how come I can get a free upgrade on US as an exe plat but not exit row seating w/out paying. confused,,2015-02-23 16:08:46 -0800,,
569174820308590592,negative,0.6523,Customer Service Issue,0.6523,US Airways,,sebastian_mcfox,,0,@USAirways why cant Sapphire members reach anyone on the phone?,,2015-02-21 08:40:26 -0800,,
570271064141352960,positive,0.6421,,0.0,United,,discobiscuit63,,0,@united I flew United last month and the experience was AWESOME!,,2015-02-24 09:16:31 -0800,,Central Time (US & Canada)
567900686089719812,negative,1.0,Can't Tell,0.6649,United,,coolingpie,,0,@united do you guys have any working planes?,,2015-02-17 20:17:29 -0800,the questions district,Eastern Time (US & Canada)
569687874288914432,negative,1.0,Customer Service Issue,0.3439,Delta,,HayesGirl_,,0,@JetBlue i only take jetblue to travel and i have to go to maimi next year but you guys dont go to maimi😭 why dont you guys go to maimi???,,2015-02-22 18:39:08 -0800,,
568125723594133504,neutral,0.6821,,0.0,Delta,,MeganAurea,,0,@JetBlue nope. Currently sitting at my gate.,,2015-02-18 11:11:42 -0800,Buffalo NY/ Pinehurst NC,Eastern Time (US & Canada)
568837619372593153,positive,1.0,,,Delta,,laurafee,,0,@JetBlue currently dancing in the terminal. love Stevie!,,2015-02-20 10:20:31 -0800,so cal,Pacific Time (US & Canada)
568609999200477185,negative,1.0,Late Flight,1.0,US Airways,,Bowen_Lu,,0,@USAirways - BOS -&gt; DCA delayed again. This needs to stop. I will be filing complaints with the FAA and Consumer Affairs,,2015-02-19 19:16:02 -0800,,
569149949989879808,negative,1.0,Customer Service Issue,0.6879,Southwest,,UnprovenTheory,,0,@SouthwestAir Cancelled Flightled my flight without explanation and won't pick up the phone...25 minutes and counting.   #customerservice @olive201,,2015-02-21 07:01:37 -0800,,
569017002439761920,neutral,1.0,,,Southwest,,JohnDePetroshow,,0,@SouthwestAir at troubadour with @Imaginedragons .#DestinationDragons http://t.co/rKlQXXaWhc,,2015-02-20 22:13:19 -0800,"Rhode Island ,Mass,CT",Eastern Time (US & Canada)
570252885809868801,negative,1.0,Lost Luggage,0.3585,American,,joannabananajo,,0,@AmericanAir Filled out a baggage claim over the phone last night. Check the status to discover the rep confused Arkansas for Alaska 😒,,2015-02-24 08:04:17 -0800,"New York, NY",Central Time (US & Canada)
568962000614658048,neutral,0.6612,,0.0,Delta,,dlewis2412,,0,“@JetBlue: @dlewis2412 Sorry! Please ask Inflght if there is an open seat you can move to.” Will do!,,2015-02-20 18:34:46 -0800,As global as possible,Atlantic Time (Canada)
569667675603009537,negative,1.0,Bad Flight,0.6575,American,,MenawatSharad,,0,@AmericanAir The wine served in USAirways flights are watered down somehow right out of the bottles.,,2015-02-22 17:18:52 -0800,,
569890311608111105,negative,1.0,Customer Service Issue,1.0,US Airways,,acnewsguy,,0,@USAirways @acnewsguy can you give me a # for US Air in philly to talk to a real person? Acarl4@hotmail.com,,2015-02-23 08:03:32 -0800,"New Haven, CT",Mountain Time (US & Canada)
570102669299351553,negative,1.0,Can't Tell,0.649,American,,LeluBlesa,,0,"@AmericanAir no, you should do something about everything happened yesterday...",,2015-02-23 22:07:23 -0800,,Buenos Aires
569970599377788928,negative,1.0,Late Flight,1.0,United,,cristobalwong,,0,"@united I'm trying to get to my final destination, we need compensation. Just about 2hrs of personal time wasted.",,2015-02-23 13:22:35 -0800,San Francisco Bay Area,
569974423903715328,negative,0.6488,Flight Booking Problems,0.3346,American,,UllCon,,0,"@AmericanAir I paid using Paypal online and after I was charged there was a ""System Error"" which is what I ended up calling about.",,2015-02-23 13:37:46 -0800,"Michigan, US",Quito
568255550070362113,negative,1.0,Can't Tell,0.6726,United,,Belendelcanto,,0,@united my coworker that had the same conflict as me with the hotel issue trying to share posted on their facebook page and they erased it!!,,2015-02-18 19:47:35 -0800,Seattle,Hawaii
569624865558245376,negative,0.6591,Flight Booking Problems,0.3324,American,,maribarrera,,0,@AmericanAir LGA 2 Nashville Cancelled Flightled phone center no help. Fabulous staff at gate D4 helped-2 young men handled crowd well.,,2015-02-22 14:28:45 -0800,Boston area,Eastern Time (US & Canada)
567770107062284288,negative,0.6515,Flight Booking Problems,0.3358,Virgin America,,paulhting,,0,@virginamerica Trying to make the change in advance (not just 24 hours prior)…tried it online earlier and it wanted $300 in change fees.,,2015-02-17 11:38:36 -0800,"Charlottesville, VA",Eastern Time (US & Canada)
567734584000135168,negative,1.0,Can't Tell,1.0,US Airways,,erickofiejones,,0,@USAirways I was completely ripped of by US Airways today never fly this airline  I am contacting my local news,,2015-02-17 09:17:27 -0800,,Eastern Time (US & Canada)
569525690615205888,neutral,0.6559,,0.0,US Airways,,dailylaurel,,0,@USAirways i want an Icecream baby...,,2015-02-22 07:54:40 -0800,Bruxelle-Paris-Marseille-(BPM),Athens
569606281998299137,negative,1.0,Lost Luggage,0.6436,US Airways,,TheLoveBite,,0,@USAirways how hard is it to unload bags in order of arrival? 45 mins and counting for flight 699,,2015-02-22 13:14:55 -0800,"Los Angeles, CA",Pacific Time (US & Canada)
568636474637357056,negative,1.0,Bad Flight,0.7022,Delta,,tommy_cantwell,,0,@JetBlue I'm sitting on the plane. Too many predictable mechanical problems.  Still onboard. This is getting bad...,,2015-02-19 21:01:14 -0800,,
569637822929317890,negative,0.6948,Customer Service Issue,0.3522,US Airways,,joekamal48,,0,@USAirways @AmericanAir  nvm my bad it's been an hour and a half #thanks,,2015-02-22 15:20:15 -0800,,
570085132251598850,negative,1.0,Flight Booking Problems,0.6737,US Airways,,worldwideweg,,0,@USAirways   My email gets me a canned response that it takes 10 days for mileage to get credited --- It's been three months and my miles,,2015-02-23 20:57:41 -0800,,
568962811772030976,negative,0.7053,Customer Service Issue,0.7053,United,,Bee_Branded,,0,@united have better customer service at John Wayne airport.,,2015-02-20 18:37:59 -0800,,Arizona
568616190609764354,negative,1.0,Late Flight,0.6667,US Airways,,amits_28,,0,@USAirways yes .not sure how you guys don't know gate is occupied and keep us waiting,,2015-02-19 19:40:38 -0800,NY,Indiana (East)
567732510692347904,negative,1.0,Customer Service Issue,1.0,Southwest,,iBrianWeaver,,0,@SouthwestAir I've been on hold for an hour &amp; a half trying to change my flight to BNA. Not very happy with customer service right now!!!!!!,,2015-02-17 09:09:13 -0800,"Nashville, TN",Central Time (US & Canada)
568228257037856768,negative,0.6304,Customer Service Issue,0.6304,United,,sjking2000,,0,@united I'm asking if you can simplify the communications- thx,,2015-02-18 17:59:08 -0800,"California, US",Pacific Time (US & Canada)
569654735592140800,negative,0.6367,longlines,0.3542,American,,macario2,,0,@AmericanAir sucks!! Teco teco #reclameaqui #TripAdvisor http://t.co/auGJsCmoLu,"[40.64935461, -73.79198785]",2015-02-22 16:27:27 -0800,Pocos de Caldas,Brasilia
569520477351383040,negative,1.0,Flight Attendant Complaints,1.0,Delta,,davisesq212,,0,@JetBlue isn't this something YOU should do?!  Why should I tell your crew how to do their job?,,2015-02-22 07:33:57 -0800,New York City,Eastern Time (US & Canada)
567923361256460288,negative,1.0,Late Flight,1.0,US Airways,,sethdpowers,,0,@USAirways 325 minute delay - this is absurd. Feel free to provide credits... http://t.co/e09keJ9bv1,,2015-02-17 21:47:35 -0800,,
568449649951907840,neutral,1.0,,,US Airways,,idreamsilvia,,0,@USAirways @CakeNDeath Question is will he and his lady behave...,,2015-02-19 08:38:52 -0800,Philadelphia,Eastern Time (US & Canada)
567731485894270977,negative,1.0,Late Flight,0.6806,United,,applecor2,,0,@united sat at airport for 5 hrs still sitting at gate..  Sigh,,2015-02-17 09:05:08 -0800,,Mountain Time (US & Canada)
569570819757752320,negative,1.0,Customer Service Issue,1.0,United,,aDeniseHuxtable,,0,@united check in and it's still saying I haven't paid. I've called back twice was on hold for 30 minutes then they answered and hung up. I,,2015-02-22 10:54:00 -0800,Nueva York,Quito
569545805826166784,positive,0.3512,,0.0,United,,worldknits,,0,@united thank you,,2015-02-22 09:14:36 -0800,"Fredericksburg, VA",Eastern Time (US & Canada)
570014190498287616,negative,1.0,Customer Service Issue,0.6726,United,,SmartBlondeSolu,,0,@united ...and when that doesn't work...,,2015-02-23 16:15:48 -0800,"Fort Worth, Texas",Central Time (US & Canada)
569961111086362625,negative,1.0,Flight Booking Problems,0.3535,American,,softwaredoug,,0,"@AmericanAir the original receipt lists my flight cost as $89ish, and doesn't reflect the use of a voucher",,2015-02-23 12:44:52 -0800,"Charlottesville, VA",Hawaii
569293295655866369,negative,1.0,Can't Tell,1.0,United,,JSJ35,,0,@united never again.,,2015-02-21 16:31:13 -0800,Blue Area of the Moon,Eastern Time (US & Canada)
570271713512046592,positive,0.6549,,,US Airways,,JenRomanoff,,0,@USAirways thanks !!!,,2015-02-24 09:19:06 -0800,,Eastern Time (US & Canada)
568039648964026368,neutral,1.0,,,US Airways,,mpordes,,0,@USAirways tell reservations to rebook me from 5080 to 5129,,2015-02-18 05:29:40 -0800,,
570091216013955073,negative,1.0,Lost Luggage,1.0,United,,ajpape,,1,@united Lost bag process is broken. Agent promised they'd call &amp; hold my bag when found. Now they're waking me at 3am w/ delivery. #fail,,2015-02-23 21:21:52 -0800,"Boulder, CO",Mountain Time (US & Canada)
569621412325023744,negative,1.0,Customer Service Issue,0.6889,US Airways,,OutsideHitter84,,0,@USAirways I left an item on plane BOS-PHL on Friday.  I've called PHL US Airways # &amp; left 6 msgs. No return call what to do at this point.,,2015-02-22 14:15:02 -0800,,
567892179953262592,negative,1.0,Flight Attendant Complaints,0.3516,United,,michaelassenza,,0,@united my golf bag didn't have a top cover + staffers said they couldn't check without a type of cover or wrap. Forced to leave the bag...,,2015-02-17 19:43:41 -0800,New York City ,Quito
570260325611630592,negative,1.0,Customer Service Issue,0.3535,Southwest,,longlive94,,0,@SouthwestAir how come I'm not getting my points after I buy from the rapid reward shopping site?,,2015-02-24 08:33:51 -0800,,
568810866830913536,neutral,0.6685,,0.0,United,,lifeisabeech8,,0,@united what do I do if something is missing from my checked baggage?,,2015-02-20 08:34:13 -0800,,Eastern Time (US & Canada)
567724943375626240,neutral,0.6383,,0.0,US Airways,,TullamoreEims,,0,@USAirways You need to contact me ASAP. #Furious,,2015-02-17 08:39:08 -0800,Dublin Raised | Brooklyn Based,Dublin
568465174702772226,positive,0.3691,,0.0,US Airways,,twitabuggin,,0,@USAirways - so far so good this week. SAV to CLT boarded BEFORE the departure time (first time in 4 weeks). Perhaps an on time departure?!,,2015-02-19 09:40:33 -0800,,Eastern Time (US & Canada)
568920546043408385,neutral,1.0,,,Delta,,Laneit360,,0,"@JetBlue question, flying for the 1st time with my 16mont old son...do I need to bring anything for him? Birth certificate/S.S. card etc?",,2015-02-20 15:50:02 -0800,Here & There,Eastern Time (US & Canada)
569692110619877376,negative,1.0,Late Flight,1.0,Southwest,,JoeStew82,,0,@SouthwestAir it's ok I was supposed to be in California 5hrs ago,,2015-02-22 18:55:58 -0800,Baltimore ,
569919625640615936,negative,1.0,Customer Service Issue,0.7282,American,,JaJillian,,0,@AmericanAir you can tweet but not call! You're like a bad boyfriend!,"[34.09822952, -118.34307851]",2015-02-23 10:00:02 -0800,"New York, NY",Eastern Time (US & Canada)
569991529764409344,negative,1.0,Bad Flight,0.6778,United,,ishowman,,0,@united Lovely new plane from LGA to ORD but no power outlets?,,2015-02-23 14:45:45 -0800,New York,London
569604286369431552,negative,1.0,Customer Service Issue,0.3581,US Airways,,therealkellyd,,0,@USAirways wasted a day of my vacation after problems with not one but two planes... #waitinginphilly #flight838,,2015-02-22 13:06:59 -0800,,
569304030847090688,negative,1.0,Flight Booking Problems,0.6705,Virgin America,,alexrkonrad,,0,@VirginAmerica trying to book a flight with you guys and your website won't let me... about to lose my business,,2015-02-21 17:13:52 -0800,"New York, NY",Eastern Time (US & Canada)
570220817470115840,positive,1.0,,,Southwest,,NicoleMEBump,,0,@SouthwestAir Thank you for the tip!,,2015-02-24 05:56:51 -0800,"Manchester, NH",Eastern Time (US & Canada)
569889475658178560,negative,1.0,Customer Service Issue,1.0,US Airways,,BriRose16,,0,@USAirways I would appreciate a call regarding a HORRIBLE experience I had with a gate agent. Was on hold for 39 min and then hung on me.,,2015-02-23 08:00:13 -0800,"Baltimore, MD ",
569585968610615296,negative,1.0,Cancelled Flight,1.0,US Airways,,farmdinner,,0,"@USAirways Cancelled Flightled flight this AM. There was avail flight to PHL today u said was sold out. I had to buy 2nd ticket, u need to refund me.",,2015-02-22 11:54:11 -0800,,Eastern Time (US & Canada)
569228412159721473,neutral,0.6669,,0.0,Delta,,BernardLeCroix,,0,@JetBlue I have an email that says I have to sign on to the travel bank?  How do I that?,,2015-02-21 12:13:23 -0800,"Providence, RI",Eastern Time (US & Canada)
569357827522699264,negative,0.6749,Customer Service Issue,0.6749,Delta,,TheBigEasy5889,,0,@JetBlue I am But Your customer service is Brutal.,,2015-02-21 20:47:38 -0800,,Eastern Time (US & Canada)
569504946120298496,positive,1.0,,,Delta,,SMHillman,,0,What can I say other than when it comes to my #BrandLoveAffair w/ @jetblue ur my #soulandinspiration https://t.co/IGkoGyWksr #umosaicmecrazy,,2015-02-22 06:32:14 -0800,"New York, NY",Eastern Time (US & Canada)
569343738331275264,negative,1.0,Customer Service Issue,0.6838,US Airways,,OP_Rahul,,0,@USAirways is flt 680 en route to DCA or BWI after diverting to RDU. Your phone service  sucks and your website is conflicting.,,2015-02-21 19:51:39 -0800,"Ocean View, Hawaii",
